"UserID","full","sur","family","Photo","active","date","place","terms","first_start","last_end","first_cv"
23729,"Eleni MAVROU","Eleni","MAVROU","https://www.europarl.europa.eu/mepphoto/23729.jpg",FALSE,"1961-02-02T00:00:00","Kyrenia","5-5","2003-04-17T00:00:00","2004-07-19T00:00:00",NA
1916,"Xaver MAYER","Xaver","MAYER","https://www.europarl.europa.eu/mepphoto/1916.jpg",FALSE,"1938-11-11T00:00:00","Ganacker","4-5","1994-07-19T00:00:00","2004-07-19T00:00:00","Engineering qualification in agriculture, Rotthalmünster - Stuttgart/Hohenhein (1961). Qualified as farmer (1962). Administrator/manager (1963-1966). Owner of a farm (since 1966)."
21813,"Miquel MAYOL i RAYNAL","Miquel","MAYOL i RAYNAL","https://www.europarl.europa.eu/mepphoto/21813.jpg",FALSE,"1941-08-11T00:00:00","Perpinyà (Rosselló)","5","2001-06-08T00:00:00","2004-07-19T00:00:00","Degree in law (Paris, 1965). Higher degree (DES) in criminal sciences (Algiers, 1967). Higher degree (DES) in public law (Montpellier, 1968). Assistant lecturer at the Faculty of Law, Nantes (1968-1969); junior lecturer at the University of Perpignan (1969-1971); lawyer (Perpignan,1971-1999)."
958,"Antonio MAZZONE","Antonio","MAZZONE","https://www.europarl.europa.eu/mepphoto/958.jpg",FALSE,"1934-12-19T00:00:00","Napoli","3","1989-10-26T00:00:00","1994-07-18T00:00:00","Law graduate."
992,"Nora MEBRAK-ZAïDI","Nora MEBRAK-ZAïDI","","https://www.europarl.europa.eu/mepphoto/992.jpg",FALSE,"1965-07-06T00:00:00","Béthoncourt (Doubs)","3","1989-07-25T00:00:00","1994-07-18T00:00:00","Holds the baccalaureate in philosophy and letters and a first degree and maîtrise in modern language studies."
1587,"José Manuel MEDEIROS FERREIRA","José Manuel","MEDEIROS FERREIRA","https://www.europarl.europa.eu/mepphoto/1587.jpg",FALSE,"1942-02-20T00:00:00","Funchal","2-2-2","1986-01-01T00:00:00","1989-07-24T00:00:00",NA
1337,"Manuel MEDINA ORTEGA","Manuel","MEDINA ORTEGA","https://www.europarl.europa.eu/mepphoto/1337.jpg",FALSE,"1935-12-15T00:00:00","Arrecife (Las Palmas)","2-2-3-4-5-6","1986-01-01T00:00:00","2009-07-13T00:00:00","Graduate in law (La Laguna, 1957); Doctorate in law (Madrid, 1961); Master of comparative law (Columbia University, 1962). Professor of international law, University of La Laguna (1975-1978). Professor of international relations, Complutense University of Madrid (UCM) (since 1978). Vice-Dean and Dean of the Faculty of politics and sociology (UCM, 1973-1975). Vice-Rector of the University of La Laguna (1976-1978). Director of the Institute of Educational Sciences (UCM, 1978-1982)."
1166,"Bruno A.A. MÉGRET","Bruno A.A.","MÉGRET","https://www.europarl.europa.eu/mepphoto/1166.jpg",FALSE,"1949-04-04T00:00:00","Paris","3-4","1989-07-25T00:00:00","1999-07-19T00:00:00","Graduate of the École Polytechnique. Civil engineer. M.Sc., University of California, Berkeley."
2098,"Erhard MEIER","Erhard","MEIER","https://www.europarl.europa.eu/mepphoto/2098.jpg",FALSE,"1939-09-24T00:00:00","Eberswalde","4","1995-01-01T00:00:00","1996-11-10T00:00:00","Studied at the Pedagogical Academy; studied in the USA for a year."
1080,"Eugenio MELANDRI","Eugenio","MELANDRI","https://www.europarl.europa.eu/mepphoto/1080.jpg",FALSE,"1948-09-21T00:00:00","Brisighella","3","1989-07-25T00:00:00","1994-07-18T00:00:00","Graduate in theology and sociology."
