"UserID","full","sur","family","Photo","active","date","place","Gender"
124763,"Antanas GUOGA","Antanas","GUOGA","https://www.europarl.europa.eu/mepphoto/124763.jpg",FALSE,"1973-12-17T00:00:00","Kaunas","M"
124870,"Jeppe KOFOD","Jeppe","KOFOD","https://www.europarl.europa.eu/mepphoto/124870.jpg",FALSE,"1974-03-14T00:00:00","København","M"
96772,"Peter JAHR","Peter","JAHR","https://www.europarl.europa.eu/mepphoto/96772.jpg",TRUE,"1959-04-24T00:00:00","Burgstädt","M"
96948,"Gilles PARGNEAUX","Gilles","PARGNEAUX","https://www.europarl.europa.eu/mepphoto/96948.jpg",FALSE,"1957-03-24T00:00:00","Harcigny","M"
124883,"Krystyna ŁYBACKA","Krystyna","ŁYBACKA","https://www.europarl.europa.eu/mepphoto/124883.jpg",FALSE,"1946-02-10T00:00:00","Jutrosin","F"
124987,"Liadh NÍ RIADA","Liadh","NÍ RIADA","https://www.europarl.europa.eu/mepphoto/124987.jpg",FALSE,"1966-11-28T00:00:00","Baile Átha Cliath","F"
124761,"Bernard MONOT","Bernard","MONOT","https://www.europarl.europa.eu/mepphoto/124761.jpg",FALSE,"1962-07-03T00:00:00","Nice","M"
28399,"Antonio LÓPEZ-ISTÚRIZ WHITE","Antonio","LÓPEZ-ISTÚRIZ WHITE","https://www.europarl.europa.eu/mepphoto/28399.jpg",TRUE,"1970-04-01T00:00:00","Pamplona","M"
23704,"Jiří MAŠTÁLKA","Jiří","MAŠTÁLKA","https://www.europarl.europa.eu/mepphoto/23704.jpg",FALSE,"1956-01-03T00:00:00","Sušice","M"
4507,"Bas BELDER","Bas","BELDER","https://www.europarl.europa.eu/mepphoto/4507.jpg",FALSE,"1946-10-25T00:00:00","Ridderkerk","M"
125063,"Georgios KYRTSOS","Georgios","KYRTSOS","https://www.europarl.europa.eu/mepphoto/125063.jpg",TRUE,"1952-06-04T00:00:00","Athina","M"
111027,"Svetoslav Hristov MALINOV","Svetoslav Hristov","MALINOV","https://www.europarl.europa.eu/mepphoto/111027.jpg",FALSE,"1968-01-19T00:00:00","Dupnitsa","M"
28404,"Matteo SALVINI","Matteo","SALVINI","https://www.europarl.europa.eu/mepphoto/28404.jpg",FALSE,"1973-03-09T00:00:00","Milano","M"
96922,"Izaskun BILBAO BARANDICA","Izaskun","BILBAO BARANDICA","https://www.europarl.europa.eu/mepphoto/96922.jpg",TRUE,"1961-03-27T00:00:00","Bermeo","F"
96646,"Helmut SCHOLZ","Helmut","SCHOLZ","https://www.europarl.europa.eu/mepphoto/96646.jpg",TRUE,"1954-06-21T00:00:00","Berlin","M"
96272,"Pavel SVOBODA","Pavel","SVOBODA","https://www.europarl.europa.eu/mepphoto/96272.jpg",FALSE,"1962-04-09T00:00:00","Praha","M"
124993,"Bodil VALERO","Bodil","VALERO","https://www.europarl.europa.eu/mepphoto/124993.jpg",FALSE,"1958-05-14T00:00:00","Ljungarum","F"
28115,"Mairead McGUINNESS","Mairead","McGUINNESS","https://www.europarl.europa.eu/mepphoto/28115.jpg",FALSE,"1959-06-13T00:00:00","Drogheda","F"
124785,"Maria GRAPINI","Maria","GRAPINI","https://www.europarl.europa.eu/mepphoto/124785.jpg",TRUE,"1954-11-07T00:00:00","Berești - Galați","F"
28429,"Alessandra MUSSOLINI","Alessandra","MUSSOLINI","https://www.europarl.europa.eu/mepphoto/28429.jpg",TRUE,"1962-12-30T00:00:00","Roma","F"
96831,"Jutta STEINRUCK","Jutta","STEINRUCK","https://www.europarl.europa.eu/mepphoto/96831.jpg",FALSE,"1962-09-01T00:00:00","Ludwigshafen","F"
125018,"Eugen FREUND","Eugen","FREUND","https://www.europarl.europa.eu/mepphoto/125018.jpg",FALSE,"1951-04-15T00:00:00","Wien","M"
96877,"Zoltán BALCZÓ","Zoltán","BALCZÓ","https://www.europarl.europa.eu/mepphoto/96877.jpg",FALSE,"1948-03-24T00:00:00","Nyíregyháza","M"
124723,"Péter NIEDERMÜLLER","Péter","NIEDERMÜLLER","https://www.europarl.europa.eu/mepphoto/124723.jpg",FALSE,"1952-09-03T00:00:00","Budapest","M"
2054,"Heidi HAUTALA","Heidi","HAUTALA","https://www.europarl.europa.eu/mepphoto/2054.jpg",TRUE,"1955-11-14T00:00:00","Oulu","F"
124746,"Andrejs MAMIKINS","Andrejs","MAMIKINS","https://www.europarl.europa.eu/mepphoto/124746.jpg",FALSE,"1976-03-11T00:00:00","Sanktpēterburga (RU)","M"
125237,"Marco ZULLO","Marco","ZULLO","https://www.europarl.europa.eu/mepphoto/125237.jpg",TRUE,"1978-10-29T00:00:00","Verona","M"
124699,"Miroslav POCHE","Miroslav","POCHE","https://www.europarl.europa.eu/mepphoto/124699.jpg",FALSE,"1978-06-03T00:00:00","Chlumec nad Cidlinou","M"
125035,"Lola SÁNCHEZ CALDENTEY","Lola","SÁNCHEZ CALDENTEY","https://www.europarl.europa.eu/mepphoto/125035.jpg",FALSE,"1978-03-17T00:00:00","Valencia","F"
96663,"Morten MESSERSCHMIDT","Morten","MESSERSCHMIDT","https://www.europarl.europa.eu/mepphoto/96663.jpg",FALSE,"1980-11-13T00:00:00","Frederikssund","M"
28208,"Nathalie GRIESBECK","Nathalie","GRIESBECK","https://www.europarl.europa.eu/mepphoto/28208.jpg",FALSE,"1956-05-24T00:00:00","Metz","F"
125013,"Momchil NEKOV","Momchil","NEKOV","https://www.europarl.europa.eu/mepphoto/125013.jpg",FALSE,"1986-05-13T00:00:00","Silistra","M"
124784,"Dan NICA","Dan","NICA","https://www.europarl.europa.eu/mepphoto/124784.jpg",TRUE,"1960-07-02T00:00:00","Panciu","M"
124706,"Pavel TELIČKA","Pavel","TELIČKA","https://www.europarl.europa.eu/mepphoto/124706.jpg",FALSE,"1965-08-24T00:00:00","Washington DC","M"
125046,"Jonás FERNÁNDEZ","Jonás","FERNÁNDEZ","https://www.europarl.europa.eu/mepphoto/125046.jpg",TRUE,"1979-01-08T00:00:00","Oviedo","M"
118658,"Brian HAYES","Brian","HAYES","https://www.europarl.europa.eu/mepphoto/118658.jpg",FALSE,"1969-08-23T00:00:00","Dublin","M"
124755,"Jean-Luc SCHAFFHAUSER","Jean-Luc","SCHAFFHAUSER","https://www.europarl.europa.eu/mepphoto/124755.jpg",FALSE,"1955-12-17T00:00:00","Cambrai","M"
124949,"Lucy ANDERSON","Lucy","ANDERSON","https://www.europarl.europa.eu/mepphoto/124949.jpg",FALSE,NA,NA,"F"
124887,"Karol KARSKI","Karol","KARSKI","https://www.europarl.europa.eu/mepphoto/124887.jpg",TRUE,"1966-05-13T00:00:00","Warszawa","M"
124973,"Gerolf ANNEMANS","Gerolf","ANNEMANS","https://www.europarl.europa.eu/mepphoto/124973.jpg",TRUE,"1958-11-08T00:00:00","Antwerpen","M"
125064,"Maria SPYRAKI","Maria","SPYRAKI","https://www.europarl.europa.eu/mepphoto/125064.jpg",TRUE,"1965-09-11T00:00:00","Larisa","F"
96780,"Monika HOHLMEIER","Monika","HOHLMEIER","https://www.europarl.europa.eu/mepphoto/96780.jpg",TRUE,"1962-07-02T00:00:00","München","F"
96811,"Rosa ESTARÀS FERRAGUT","Rosa","ESTARÀS FERRAGUT","https://www.europarl.europa.eu/mepphoto/96811.jpg",TRUE,"1965-10-21T00:00:00",NA,"F"
96742,"Jean-Luc MÉLENCHON","Jean-Luc","MÉLENCHON","https://www.europarl.europa.eu/mepphoto/96742.jpg",FALSE,"1951-08-19T00:00:00","Tanger","M"
1985,"Pervenche BERÈS","Pervenche","BERÈS","https://www.europarl.europa.eu/mepphoto/1985.jpg",FALSE,"1957-03-10T00:00:00","Neully-sur-Seine","F"
2073,"Richard HOWITT","Richard","HOWITT","https://www.europarl.europa.eu/mepphoto/2073.jpg",FALSE,"1961-04-05T00:00:00","Reading","M"
96661,"Krisztina MORVAI","Krisztina","MORVAI","https://www.europarl.europa.eu/mepphoto/96661.jpg",FALSE,"1963-06-22T00:00:00","Budapest","F"
4751,"Bart STAES","Bart","STAES","https://www.europarl.europa.eu/mepphoto/4751.jpg",FALSE,"1958-08-07T00:00:00","Izegem","M"
