"UserID","full","sur","family","Photo","active","date","place","Gender","Education (qualifications and diplomas)"
197710,"Alexandra Louise Rosenfield PHILLIPS","Alexandra Louise Rosenfield","PHILLIPS","https://www.europarl.europa.eu/mepphoto/197710.jpg",FALSE,"1985-07-09T00:00:00","Liverpool","F",""
99461,"Alexandra Lesley PHILLIPS","Alexandra Lesley","PHILLIPS","https://www.europarl.europa.eu/mepphoto/99461.jpg",FALSE,"1983-12-26T00:00:00","Gloucester","F",""
197619,"Sabrina PIGNEDOLI","Sabrina","PIGNEDOLI","https://www.europarl.europa.eu/mepphoto/197619.jpg",TRUE,"1983-10-24T00:00:00","Castelnovo ne' Monti","F","07/11/2017- ... : Sapienza University of Rome, PhD in Communication, social research and marketing, 16/09/2013-24/03/2015 : University of Modena and Reggio Emilia, Master's in Economics and Business and Public Administration Law, specialisation in international business and law, 23/09/2007-10/09/2009 : University of Bologna, School of Advanced Journalism Studies, 12/10/2005-04/07/2007 : University of Bologna, Master's in Cinema, Television and Multimedia Production, 19/09/2002-18/07/2005 : University of Bologna, Bachelor degree in DAMS (Drama, Art and Music Studies) - Cinema, 08/09/1997-13/06/2002 : Istituto scolastico ‘Dall'Aglio’ di Castelnovo ne’ Monti (Reggio Emilia), scientific high school with IT specialisation"
197828,"Manu PINEDA","Manu","PINEDA","https://www.europarl.europa.eu/mepphoto/197828.jpg",TRUE,"1965-09-02T00:00:00",NA,"M",""
197629,"Maxette PIRBAKAS","Maxette","PIRBAKAS","https://www.europarl.europa.eu/mepphoto/197629.jpg",TRUE,"1975-04-14T00:00:00","Pointe-à-Pitre","F",""
197590,"Giuliano PISAPIA","Giuliano","PISAPIA","https://www.europarl.europa.eu/mepphoto/197590.jpg",TRUE,"1949-05-20T00:00:00","Milano","M","Degree in law from the University of Milan, Degree in political science from the University of Milan"
197663,"Dragoş PÎSLARU","Dragoş","PÎSLARU","https://www.europarl.europa.eu/mepphoto/197663.jpg",TRUE,"1976-03-23T00:00:00","București","M","10/2007-10/2013 : doctorate in economics – Romanian Academy of Sciences, National Institute of Economic Research (INCE), 04/2006-06/2006 : public policy evaluation specialist, ‘Public Policies and Planning - Evaluation’ – course run under the auspices of the Ministry of Finance (PHARE project coordinated by GDSI – Ireland) and accredited by Galway National University, Ireland (NUIG), 10/1999-09/2000 : Master of Science (MSc) in International Relations – London School of Economics and Political Science, London, Great Britain, 10/1998-10/1999 : postgraduate course in ‘In-depth studies in European integration’ – Bucharest Academy of Economic Studies, Faculty of International Economic Relations, 10/1994-09/1998 : degree in International Economics – Bucharest Academy of Economic Studies, Faculty of International Economic Relations"
197732,"Manuel PIZARRO","Manuel","PIZARRO","https://www.europarl.europa.eu/mepphoto/197732.jpg",FALSE,"1964-02-02T00:00:00","Porto","M",""
197404,"Jessica POLFJÄRD","Jessica","POLFJÄRD","https://www.europarl.europa.eu/mepphoto/197404.jpg",TRUE,"1971-05-27T00:00:00","Västerås","F",""
197765,"Peter POLLÁK","Peter","POLLÁK","https://www.europarl.europa.eu/mepphoto/197765.jpg",TRUE,"1973-04-20T00:00:00","Levoca","M",""
197700,"Luisa PORRITT","Luisa","PORRITT","https://www.europarl.europa.eu/mepphoto/197700.jpg",FALSE,"1987-05-23T00:00:00","London","F",""
197820,"Nicola PROCACCINI","Nicola","PROCACCINI","https://www.europarl.europa.eu/mepphoto/197820.jpg",TRUE,"1976-01-21T00:00:00","Roma","M","1994 : school-leaving certificate from Leonardo da Vinci ‘liceo classico’ (secondary school specialising in classical subjects) in Terracina, 2002 : law degree from La Sapienza University, Rome, with a thesis on administrative law"
197813,"Jake PUGH","Jake","PUGH","https://www.europarl.europa.eu/mepphoto/197813.jpg",FALSE,"1960-10-20T00:00:00","PEMBURY","M",""
197764,"Miroslav RADAČOVSKÝ","Miroslav","RADAČOVSKÝ","https://www.europarl.europa.eu/mepphoto/197764.jpg",TRUE,"1953-09-24T00:00:00","Lutina","M","1973-1978 : Faculty of Law, Pavol Jozef Šafárik University, Košice, 1978-1981 : District Court - judicial examination, 1978-1981 : Regional Court - Notary Public, 1978-1981 : District Prosecutor’s Office, 1978-1981 : Legal advisory office, 1981-1981 : Faculty of Law, Pavol Jozef Šafárik University, Košice - rigorous examination"
197868,"Samira RAFAELA","Samira","RAFAELA","https://www.europarl.europa.eu/mepphoto/197868.jpg",TRUE,"1989-02-11T00:00:00","ZOETERMEER","F",""
197544,"Elżbieta RAFALSKA","Elżbieta","RAFALSKA","https://www.europarl.europa.eu/mepphoto/197544.jpg",TRUE,"1955-06-22T00:00:00","Wschowa","F",""
